trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-05-28T13:20:00-04:00,OKLO,BUY,BUY,1717,55.3,1.0,,
2,2025-05-28T14:15:00-04:00,OKLO,SELL,SELL,1717,55.31,1.0,16.170000000008784,0.017029818506587902
3,2025-05-28T14:20:00-04:00,OKLO,BUY,BUY,1711,55.52,1.0,,
4,2025-05-28T14:25:00-04:00,OKLO,SELL,SELL,1711,54.94,1.0,-993.3800000000092,-1.0457102698942744
5,2025-05-28T15:55:00-04:00,OKLO,BUY,BUY,1704,55.18,1.0,,
6,2025-05-29T09:35:00-04:00,OKLO,SELL,SELL,1704,53.66,1.0,-2591.0800000000054,-2.755655459900554
7,2025-05-29T10:10:00-04:00,OKLO,BUY,BUY,1679,54.54,1.0,,
8,2025-05-29T10:15:00-04:00,OKLO,SELL,SELL,1679,54.2,1.0,-571.8599999999938,-0.6244808823847313
9,2025-05-29T11:20:00-04:00,OKLO,BUY,BUY,1681,54.15,1.0,,
10,2025-05-29T11:35:00-04:00,OKLO,SELL,SELL,1681,53.12,1.0,-1732.4300000000019,-1.9032014074921624
11,2025-05-29T11:50:00-04:00,OKLO,BUY,BUY,1666,53.64,1.0,,
12,2025-05-29T11:55:00-04:00,OKLO,SELL,SELL,1666,53.25,1.0,-650.7400000000009,-0.7281802186174411
13,2025-05-29T12:00:00-04:00,OKLO,BUY,BUY,1657,53.56,1.0,,
14,2025-05-29T12:20:00-04:00,OKLO,SELL,SELL,1657,53.28,1.0,-464.96000000000186,-0.5238990637963413
15,2025-05-29T12:25:00-04:00,OKLO,BUY,BUY,1655,53.38,1.0,,
16,2025-05-29T13:55:00-04:00,OKLO,SELL,SELL,1655,54.06,1.0,1124.3999999999996,1.2727390036097155
17,2025-05-29T14:05:00-04:00,OKLO,BUY,BUY,1648,54.25,1.0,,
18,2025-05-29T14:10:00-04:00,OKLO,SELL,SELL,1648,54.12,1.0,-215.24000000000422,-0.2407471617918508
19,2025-05-29T14:50:00-04:00,OKLO,BUY,BUY,1649,54.09,1.0,,
20,2025-05-29T14:55:00-04:00,OKLO,SELL,SELL,1649,53.59,1.0,-825.5,-0.9254960541130983
21,2025-05-30T09:35:00-04:00,OKLO,BUY,BUY,1632,54.18,1.0,,
22,2025-05-30T09:40:00-04:00,OKLO,SELL,SELL,1632,53.07,1.0,-1812.519999999999,-2.0498342282009734
23,2025-05-30T10:10:00-04:00,OKLO,BUY,BUY,1614,53.69,1.0,,
24,2025-05-30T10:15:00-04:00,OKLO,SELL,SELL,1614,52.87,1.0,-1324.4800000000005,-1.5284226278741881
25,2025-05-30T10:20:00-04:00,OKLO,BUY,BUY,1606,53.2,1.0,,
26,2025-05-30T11:05:00-04:00,OKLO,SELL,SELL,1606,53.18,1.0,-33.12000000000502,-0.03876395420423292
27,2025-05-30T11:30:00-04:00,OKLO,BUY,BUY,1603,53.27,1.0,,
28,2025-05-30T11:35:00-04:00,OKLO,SELL,SELL,1603,52.65,1.0,-994.8600000000073,-1.1650395390431667
29,2025-05-30T14:00:00-04:00,OKLO,BUY,BUY,1663,50.78,1.0,,
30,2025-06-02T09:55:00-04:00,OKLO,SELL,SELL,1663,51.69,1.0,1512.3299999999942,1.7908387325049364
31,2025-06-02T10:30:00-04:00,OKLO,BUY,BUY,1648,52.11,1.0,,
32,2025-06-02T10:35:00-04:00,OKLO,SELL,SELL,1648,51.49,1.0,-1022.7599999999958,-1.190941411495428
33,2025-06-02T11:20:00-04:00,OKLO,BUY,BUY,1639,51.82,1.0,,
34,2025-06-02T12:30:00-04:00,OKLO,SELL,SELL,1639,51.77,1.0,-82.94999999999534,-0.09766409156852811
35,2025-06-02T12:35:00-04:00,OKLO,BUY,BUY,1624,52.23,1.0,,
36,2025-06-02T12:40:00-04:00,OKLO,SELL,SELL,1624,51.89,1.0,-553.1599999999939,-0.6521381350141378
37,2025-06-02T13:40:00-04:00,OKLO,BUY,BUY,1618,52.11,1.0,,
38,2025-06-02T14:35:00-04:00,OKLO,SELL,SELL,1618,52.03,1.0,-130.43999999999724,-0.1547056051012492
39,2025-06-02T14:40:00-04:00,OKLO,BUY,BUY,1610,52.27,1.0,,
