trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-05-28T13:20:00-04:00,OKLO,BUY,BUY,1808,55.3,1.0,,
2,2025-05-28T14:15:00-04:00,OKLO,SELL,SELL,1808,55.31,1.0,17.08000000000925,0.017082835750743874
3,2025-05-28T14:20:00-04:00,OKLO,BUY,BUY,1801,55.52,1.0,,
4,2025-05-28T14:25:00-04:00,OKLO,SELL,SELL,1801,54.94,1.0,-1045.5800000000097,-1.0456582152345093
5,2025-05-28T15:55:00-04:00,OKLO,BUY,BUY,1810,55.18,1.0,,
6,2025-05-29T09:35:00-04:00,OKLO,SELL,SELL,1810,53.66,1.0,-2752.2000000000057,-2.7555948929080682
7,2025-05-29T10:10:00-04:00,OKLO,BUY,BUY,1826,54.54,1.0,,
8,2025-05-29T10:15:00-04:00,OKLO,SELL,SELL,1826,54.2,1.0,-621.8399999999932,-0.624393519738315
9,2025-05-29T11:20:00-04:00,OKLO,BUY,BUY,1838,54.15,1.0,,
10,2025-05-29T11:35:00-04:00,OKLO,SELL,SELL,1838,53.12,1.0,-1894.1400000000021,-1.9031093543872293
11,2025-05-29T11:50:00-04:00,OKLO,BUY,BUY,1852,53.64,1.0,,
12,2025-05-29T11:55:00-04:00,OKLO,SELL,SELL,1852,53.25,1.0,-723.2800000000011,-0.7280686531454695
13,2025-05-29T12:00:00-04:00,OKLO,BUY,BUY,1853,53.56,1.0,,
14,2025-05-29T12:20:00-04:00,OKLO,SELL,SELL,1853,53.28,1.0,-519.8400000000021,-0.5237805054989719
15,2025-05-29T12:25:00-04:00,OKLO,BUY,BUY,1859,53.38,1.0,,
16,2025-05-29T13:55:00-04:00,OKLO,SELL,SELL,1859,54.06,1.0,1263.1199999999994,1.2728647983230008
17,2025-05-29T14:05:00-04:00,OKLO,BUY,BUY,1831,54.25,1.0,,
18,2025-05-29T14:10:00-04:00,OKLO,SELL,SELL,1831,54.12,1.0,-239.0300000000047,-0.24063564131669032
19,2025-05-29T14:50:00-04:00,OKLO,BUY,BUY,1836,54.09,1.0,,
20,2025-05-29T14:55:00-04:00,OKLO,SELL,SELL,1836,53.59,1.0,-919.0,-0.9253829212375279
21,2025-05-30T09:35:00-04:00,OKLO,BUY,BUY,1831,54.18,1.0,,
22,2025-05-30T09:40:00-04:00,OKLO,SELL,SELL,1831,53.07,1.0,-2033.409999999999,-2.049713833776625
