trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-05-30T15:35:00-04:00,OKLO,BUY,Breakout > $52.00 | ADX=29.4 | RSI=54.9 | Vol spike 1.5x | SPY bullish | SL=$51.74 | TP=$52.58,1922,52.02,1.0,,
2,2025-05-30T15:50:00-04:00,OKLO,SELL,Take profit hit at $52.88 (TP: $52.58),1922,52.88,1.0,1651.919999999999,1.6521936032606988
3,2025-06-02T15:50:00-04:00,OKLO,BUY,Breakout > $52.81 | ADX=36.4 | RSI=72.7 | Vol spike 1.5x | SPY bullish | SL=$52.66 | TP=$53.53,1891,52.95,1.0,,
4,2025-06-02T15:55:00-04:00,OKLO,SELL,Stop loss hit at $52.44 (SL: $52.66),1891,52.44,1.0,-965.4100000000096,-0.9641618924302585
5,2025-06-03T09:30:00-04:00,OKLO,BUY,Breakout > $53.15 | ADX=40.3 | RSI=89.4 | Vol spike 1.5x | SPY bullish | SL=$57.56 | TP=$59.81,1716,58.31,1.0,,
6,2025-06-03T09:35:00-04:00,OKLO,SELL,Stop loss hit at $54.95 (SL: $57.56),1716,54.95,1.0,-5766.759999999999,-5.763246724796563
7,2025-06-04T13:50:00-04:00,OKLO,BUY,Breakout > $48.73 | ADX=37.5 | RSI=83.1 | Vol spike 1.5x | SPY bullish | SL=$48.59 | TP=$49.43,2035,48.87,1.0,,
8,2025-06-04T14:05:00-04:00,OKLO,SELL,Price $48.85 < 5-SMA $48.90,2035,48.85,1.0,-41.6999999999919,-0.041930007053684895
9,2025-06-06T12:25:00-04:00,OKLO,BUY,Breakout > $49.51 | ADX=20.5 | RSI=68.3 | Vol spike 1.5x | SPY bullish | SL=$49.30 | TP=$50.29,2004,49.63,1.0,,
10,2025-06-06T12:40:00-04:00,OKLO,SELL,Price $49.40 < 5-SMA $49.46,2004,49.4,1.0,-461.920000000008,-0.46443015208600236
