trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-02-21T13:10:00-05:00,XLV,BUY,Breakout > $147.00 | ADX=25.8 | RSI=61.2 | Vol spike 1.5x | SPY bullish | SL=$146.91 | TP=$147.37,679,147.06,1.0,,
2,2025-02-21T13:20:00-05:00,XLV,SELL,Stop loss hit at $146.83 (SL: $146.91),679,146.83,1.0,-157.16999999999305,-0.15739863726047762
3,2025-02-25T09:30:00-05:00,XLV,BUY,Breakout > $148.18 | ADX=33.8 | RSI=67.3 | Vol spike 1.5x | SPY bullish | SL=$148.48 | TP=$149.17,672,148.71,1.0,,
4,2025-02-25T09:35:00-05:00,XLV,SELL,Stop loss hit at $148.12 (SL: $148.48),672,148.12,1.0,-397.4800000000023,-0.39774203245098094
5,2025-02-25T15:00:00-05:00,XLV,BUY,Breakout > $148.58 | ADX=23.5 | RSI=70.0 | Vol spike 1.5x | SPY bullish | SL=$148.44 | TP=$148.88,672,148.59,1.0,,
6,2025-02-25T15:05:00-05:00,XLV,SELL,Stop loss hit at $148.42 (SL: $148.44),672,148.42,1.0,-115.2400000000107,-0.11540909740953514
7,2025-02-25T15:20:00-05:00,XLV,BUY,Breakout > $148.60 | ADX=27.4 | RSI=76.0 | Vol spike 1.5x | SPY bullish | SL=$148.51 | TP=$149.00,672,148.67,1.0,,
8,2025-02-25T15:35:00-05:00,XLV,SELL,Price $148.59 < 5-SMA $148.60,672,148.59,1.0,-54.759999999989304,-0.05481084253752712
9,2025-02-25T15:45:00-05:00,XLV,BUY,Breakout > $148.71 | ADX=32.8 | RSI=63.3 | Vol spike 1.5x | SPY bullish | SL=$148.60 | TP=$149.07,671,148.76,1.0,,
10,2025-02-26T09:30:00-05:00,XLV,SELL,Stop loss hit at $148.43 (SL: $148.60),671,148.43,1.0,-222.42999999998932,-0.22283341761924724
11,2025-02-28T15:00:00-05:00,XLV,BUY,Breakout > $147.67 | ADX=33.7 | RSI=76.6 | Vol spike 1.5x | SPY bullish | SL=$147.58 | TP=$148.15,676,147.77,1.0,,
12,2025-02-28T15:15:00-05:00,XLV,SELL,Price $147.67 < 5-SMA $147.70,676,147.67,1.0,-68.60000000001537,-0.06867312314153648
13,2025-02-28T15:40:00-05:00,XLV,BUY,Breakout > $148.06 | ADX=53.5 | RSI=81.7 | Vol spike 1.5x | SPY bullish | SL=$148.09 | TP=$148.63,673,148.27,1.0,,
14,2025-02-28T15:55:00-05:00,XLV,SELL,Take profit hit at $148.98 (TP: $148.63),673,148.98,1.0,476.8299999999862,0.4778492045684102
15,2025-03-03T09:30:00-05:00,XLV,BUY,Breakout > $149.16 | ADX=60.8 | RSI=89.3 | Vol spike 1.5x | SPY bullish | SL=$149.11 | TP=$149.95,669,149.39,1.0,,
