trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-02-20T14:45:00-05:00,XLB,BUY,Breakout > $89.43 | ADX=22.4 | RSI=80.0 | Vol spike 1.5x | SPY bullish | SL=$89.48 | TP=$89.65,1116,89.54,1.0,,
2,2025-02-20T15:00:00-05:00,XLB,SELL,Stop loss hit at $89.46 (SL: $89.48),1116,89.46,1.0,-90.28000000001396,-0.09034537391257708
3,2025-02-20T15:50:00-05:00,XLB,BUY,Breakout > $89.58 | ADX=21.0 | RSI=65.7 | Vol spike 1.5x | SPY bullish | SL=$89.54 | TP=$89.77,1115,89.62,1.0,,
4,2025-02-21T09:35:00-05:00,XLB,SELL,Price $89.66 < 5-SMA $89.67,1115,89.66,1.0,43.59999999999113,0.0436317202606206
5,2025-02-25T15:20:00-05:00,XLB,BUY,Breakout > $88.84 | ADX=29.0 | RSI=80.2 | Vol spike 1.5x | SPY bullish | SL=$88.82 | TP=$89.11,1124,88.92,1.0,,
6,2025-02-25T15:30:00-05:00,XLB,SELL,Stop loss hit at $88.80 (SL: $88.82),1124,88.8,1.0,-135.8800000000051,-0.13595194576970643
7,2025-02-28T15:50:00-05:00,XLB,BUY,Breakout > $88.43 | ADX=41.4 | RSI=76.6 | Vol spike 1.5x | SPY bullish | SL=$88.49 | TP=$88.84,1128,88.61,1.0,,
8,2025-03-03T09:30:00-05:00,XLB,SELL,Take profit hit at $89.57 (TP: $88.84),1128,89.57,1.0,1081.8799999999928,1.0823878563822074
9,2025-03-05T14:05:00-05:00,XLB,BUY,Breakout > $88.04 | ADX=29.7 | RSI=69.9 | Vol spike 1.5x | SPY bullish | SL=$88.00 | TP=$88.51,1135,88.17,1.0,,
10,2025-03-05T14:25:00-05:00,XLB,SELL,Price $88.04 < 5-SMA $88.14,1135,88.04,1.0,-148.54999999999484,-0.14844022845105528
11,2025-03-14T09:30:00-04:00,XLB,BUY,Breakout > $85.06 | ADX=35.1 | RSI=65.2 | Vol spike 1.5x | SPY bullish | SL=$85.22 | TP=$85.83,1171,85.42,1.0,,
12,2025-03-14T09:50:00-04:00,XLB,SELL,Take profit hit at $85.99 (TP: $85.83),1171,85.99,1.0,666.4699999999921,0.6662846396132517
13,2025-03-14T15:50:00-04:00,XLB,BUY,Breakout > $85.95 | ADX=20.8 | RSI=66.7 | Vol spike 1.5x | SPY bullish | SL=$85.94 | TP=$86.25,1163,86.04,1.0,,
