trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
1,2025-02-28T15:25:00-05:00,TSLA,BUY,Breakout > $291.99 | ADX=40.8 | RSI=80.0 | Vol spike 1.5x | SPY bullish | SL=$291.47 | TP=$296.84,340,293.26,1.0,,
2,2025-02-28T15:30:00-05:00,TSLA,SELL,Stop loss hit at $290.71 (SL: $291.47),340,290.71,1.0,-868.0000000000039,-0.8705297594810559
3,2025-03-03T09:30:00-05:00,TSLA,BUY,Breakout > $293.62 | ADX=44.1 | RSI=74.3 | Vol spike 1.5x | SPY bullish | SL=$297.51 | TP=$305.18,332,300.07,1.0,,
4,2025-03-03T09:50:00-05:00,TSLA,SELL,Stop loss hit at $295.00 (SL: $297.51),332,295.0,1.0,-1684.2399999999977,-1.6905925706434475
5,2025-03-04T14:20:00-05:00,TSLA,BUY,Breakout > $279.70 | ADX=37.7 | RSI=72.5 | Vol spike 1.5x | SPY bullish | SL=$279.08 | TP=$285.33,354,281.16,1.0,,
6,2025-03-04T14:30:00-05:00,TSLA,SELL,Stop loss hit at $277.91 (SL: $279.08),354,277.91,1.0,-1151.5,-1.1569185436912321
7,2025-03-05T14:05:00-05:00,TSLA,BUY,Breakout > $276.06 | ADX=27.5 | RSI=59.5 | Vol spike 1.5x | SPY bullish | SL=$276.07 | TP=$281.50,358,277.88,1.0,,
8,2025-03-05T14:25:00-05:00,TSLA,SELL,Price $276.94 < 5-SMA $277.72,358,276.94,1.0,-337.5199999999992,-0.3392773208108712
9,2025-03-05T15:55:00-05:00,TSLA,BUY,Breakout > $279.16 | ADX=28.6 | RSI=59.8 | Vol spike 1.5x | SPY bullish | SL=$277.48 | TP=$282.82,356,279.26,1.0,,
10,2025-03-06T09:30:00-05:00,TSLA,SELL,Stop loss hit at $267.50 (SL: $277.48),356,267.5,1.0,-4187.559999999997,-4.212092913968113
11,2025-03-11T14:50:00-04:00,TSLA,BUY,Breakout > $235.66 | ADX=48.4 | RSI=87.4 | Vol spike 1.5x | SPY bullish | SL=$234.65 | TP=$240.57,419,236.62,1.0,,
12,2025-03-11T15:00:00-04:00,TSLA,SELL,Stop loss hit at $233.70 (SL: $234.65),419,233.7,1.0,-1224.4800000000066,-1.2350423290061328
13,2025-03-12T09:30:00-04:00,TSLA,BUY,Breakout > $237.07 | ADX=33.9 | RSI=65.5 | Vol spike 1.5x | SPY bullish | SL=$243.41 | TP=$253.65,401,246.82,1.0,,
14,2025-03-12T09:50:00-04:00,TSLA,SELL,Price $246.46 < 5-SMA $247.89,401,246.46,1.0,-145.35999999999407,-0.14686415328510952
15,2025-03-12T12:35:00-04:00,TSLA,BUY,Breakout > $249.99 | ADX=40.7 | RSI=77.3 | Vol spike 1.5x | SPY bullish | SL=$249.19 | TP=$253.90,394,250.76,1.0,,
16,2025-03-12T12:40:00-04:00,TSLA,SELL,Stop loss hit at $247.93 (SL: $249.19),394,247.93,1.0,-1116.0199999999936,-1.129569868312321
17,2025-03-14T09:30:00-04:00,TSLA,BUY,Breakout > $242.60 | ADX=39.7 | RSI=74.8 | Vol spike 1.5x | SPY bullish | SL=$246.81 | TP=$252.57,397,248.73,1.0,,
18,2025-03-14T09:40:00-04:00,TSLA,SELL,Stop loss hit at $245.70 (SL: $246.81),397,245.7,1.0,-1203.9100000000005,-1.2191887515151127
19,2025-03-19T15:05:00-04:00,TSLA,BUY,Breakout > $238.97 | ADX=34.7 | RSI=82.5 | Vol spike 1.5x | SPY bullish | SL=$239.09 | TP=$244.16,410,240.78,1.0,,
20,2025-03-19T15:15:00-04:00,TSLA,SELL,Stop loss hit at $239.05 (SL: $239.09),410,239.05,1.0,-710.2999999999959,-0.7195038938096083
21,2025-03-21T09:40:00-04:00,TSLA,BUY,Breakout > $241.83 | ADX=43.0 | RSI=80.3 | Vol spike 1.5x | SPY bullish | SL=$240.26 | TP=$245.33,408,241.95,1.0,,
22,2025-03-21T10:00:00-04:00,TSLA,SELL,Price $241.98 < 5-SMA $242.19,408,241.98,1.0,11.240000000000464,0.011386129587121584
23,2025-03-21T15:50:00-04:00,TSLA,BUY,Breakout > $247.41 | ADX=28.4 | RSI=59.8 | Vol spike 1.5x | SPY bullish | SL=$247.84 | TP=$251.19,396,248.96,1.0,,
24,2025-03-24T09:30:00-04:00,TSLA,SELL,Take profit hit at $262.02 (TP: $251.19),396,262.02,1.0,5170.759999999989,5.244755102893654
25,2025-03-24T09:35:00-04:00,TSLA,BUY,Breakout > $262.77 | ADX=37.2 | RSI=89.8 | Vol spike 1.5x | SPY bullish | SL=$260.66 | TP=$267.23,377,262.85,1.0,,
26,2025-03-24T09:50:00-04:00,TSLA,SELL,Take profit hit at $267.59 (TP: $267.23),377,267.59,1.0,1785.979999999982,1.8022825467768517
27,2025-03-24T12:45:00-04:00,TSLA,BUY,Breakout > $274.09 | ADX=28.8 | RSI=74.2 | Vol spike 1.5x | SPY bullish | SL=$273.19 | TP=$276.79,362,274.39,1.0,,
28,2025-03-24T13:05:00-04:00,TSLA,SELL,Price $273.87 < 5-SMA $274.12,362,273.87,1.0,-189.23999999999342,-0.1905161150417662
29,2025-03-24T15:25:00-04:00,TSLA,BUY,Breakout > $275.45 | ADX=30.7 | RSI=65.4 | Vol spike 1.5x | SPY bullish | SL=$275.18 | TP=$278.15,359,276.17,1.0,,
30,2025-03-24T15:55:00-04:00,TSLA,SELL,Take profit hit at $278.44 (TP: $278.15),359,278.44,1.0,813.9299999999935,0.8209405863250333
31,2025-03-25T14:40:00-04:00,TSLA,BUY,Breakout > $280.63 | ADX=29.2 | RSI=78.2 | Vol spike 1.5x | SPY bullish | SL=$280.66 | TP=$283.33,353,281.55,1.0,,
32,2025-03-25T15:00:00-04:00,TSLA,SELL,Price $282.10 < 5-SMA $282.13,353,282.1,1.0,193.150000000004,0.1943390635603983
33,2025-03-25T15:10:00-04:00,TSLA,BUY,Breakout > $283.77 | ADX=43.6 | RSI=84.7 | Vol spike 1.5x | SPY bullish | SL=$282.88 | TP=$286.21,350,283.99,1.0,,
34,2025-03-25T15:35:00-04:00,TSLA,SELL,Take profit hit at $286.58 (TP: $286.21),350,286.58,1.0,905.4999999999912,0.9109887069594218
35,2025-03-25T15:50:00-04:00,TSLA,BUY,Breakout > $287.48 | ADX=57.1 | RSI=87.6 | Vol spike 1.5x | SPY bullish | SL=$286.21 | TP=$290.20,346,287.54,1.0,,
36,2025-03-26T09:30:00-04:00,TSLA,SELL,Stop loss hit at $281.19 (SL: $286.21),346,281.19,1.0,-2198.1000000000076,-2.2093713287708647
37,2025-03-31T14:10:00-04:00,TSLA,BUY,Breakout > $256.90 | ADX=27.2 | RSI=57.5 | Vol spike 1.5x | SPY bullish | SL=$255.72 | TP=$260.29,386,257.24,1.0,,
38,2025-03-31T14:40:00-04:00,TSLA,SELL,Price $258.78 < 5-SMA $258.96,386,258.78,1.0,593.439999999986,0.5976496047560457
39,2025-04-01T09:30:00-04:00,TSLA,BUY,Breakout > $260.56 | ADX=27.3 | RSI=63.9 | Vol spike 1.5x | SPY bullish | SL=$261.69 | TP=$268.39,376,263.92,1.0,,
40,2025-04-01T09:50:00-04:00,TSLA,SELL,Price $263.27 < 5-SMA $263.91,376,263.27,1.0,-245.40000000001282,-0.2472919814920119
41,2025-04-08T09:30:00-04:00,TSLA,BUY,Breakout > $236.49 | ADX=26.2 | RSI=75.9 | Vol spike 1.5x | SPY bullish | SL=$243.90 | TP=$254.62,401,247.47,1.0,,
42,2025-04-08T09:45:00-04:00,TSLA,SELL,Stop loss hit at $241.34 (SL: $243.90),401,241.34,1.0,-2459.1299999999983,-2.4780506602058683
43,2025-04-09T13:00:00-04:00,TSLA,BUY,Breakout > $234.40 | ADX=34.4 | RSI=80.7 | Vol spike 1.5x | SPY bullish | SL=$234.86 | TP=$240.10,419,236.61,1.0,,
44,2025-04-09T13:05:00-04:00,TSLA,SELL,Stop loss hit at $234.16 (SL: $234.86),419,234.16,1.0,-1027.5500000000072,-1.0364574187020745
45,2025-04-09T13:15:00-04:00,TSLA,BUY,Breakout > $236.75 | ADX=42.6 | RSI=77.0 | Vol spike 1.5x | SPY bullish | SL=$239.42 | TP=$246.87,409,241.9,1.0,,
46,2025-04-09T13:20:00-04:00,TSLA,SELL,Take profit hit at $247.38 (TP: $246.87),409,247.38,1.0,2240.3199999999956,2.264365295068326
47,2025-04-09T13:55:00-04:00,TSLA,BUY,Breakout > $255.58 | ADX=62.0 | RSI=83.7 | Vol spike 1.5x | SPY bullish | SL=$254.81 | TP=$270.69,381,260.1,1.0,,
48,2025-04-09T14:40:00-04:00,TSLA,SELL,Price $263.61 < 5-SMA $264.42,381,263.61,1.0,1336.3099999999965,1.3484582604685575
49,2025-04-14T09:30:00-04:00,TSLA,BUY,Breakout > $252.32 | ADX=21.8 | RSI=84.7 | Vol spike 1.5x | SPY bullish | SL=$257.37 | TP=$263.25,383,259.33,1.0,,
50,2025-04-14T09:35:00-04:00,TSLA,SELL,Stop loss hit at $257.13 (SL: $257.37),383,257.13,1.0,-843.5999999999956,-0.8493382139069725
51,2025-04-14T15:05:00-04:00,TSLA,BUY,Breakout > $252.29 | ADX=31.9 | RSI=76.6 | Vol spike 1.5x | SPY bullish | SL=$252.25 | TP=$255.36,392,253.29,1.0,,
52,2025-04-14T15:50:00-04:00,TSLA,SELL,Price $253.67 < 5-SMA $254.53,392,253.67,1.0,147.95999999999822,0.14901700743715143
